id,movie_key,name,source,file_name,script_url,tmdb_title,release_date,tmdb_id,overview,imdb_title,imdb_release_date,imdb_id,dialogue,charinfo,tagged
857,shining,"Shining, The",imsdb,Shining-The,https://imsdb.com/scripts/Shining%2C-The.html,The Shining,1980-05-23,694,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",The Shining,1980,0081505,Shining-The_dialogue.txt,Shining-The_charinfo.txt,Shining-The_parsed.txt
858,shippingnews,"Shipping News, The",imsdb,Shipping-News-The,https://imsdb.com/scripts/Shipping-News%2C-The.html,The Shipping News,2001-12-18,6440,An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,The Shipping News,2001,0120824,Shipping-News-The_dialogue.txt,Shipping-News-The_charinfo.txt,Shipping-News-The_parsed.txt
859,shivers,Shivers,imsdb,Shivers,https://imsdb.com/scripts/Shivers.html,Shivers,1975-09-26,27429,"When the residents of a luxury apartment complex outside Montreal are infiltrated by parasites and transformed into violent, sex-crazed maniacs, it's up to Dr. Roger St. Luc to contain the outbreak from spreading to the city.",Shivers,1975,0073705,Shivers_dialogue.txt,Shivers_charinfo.txt,Shivers_parsed.txt
860,shrek,Shrek,imsdb,Shrek,https://imsdb.com/scripts/Shrek.html,Shrek,2001-05-18,808,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",Shrek,2001,0126029,Shrek_dialogue.txt,Shrek_charinfo.txt,Shrek_parsed.txt
861,shrekthird,Shrek the Third,imsdb,Shrek-the-Third,https://imsdb.com/scripts/Shrek-the-Third.html,Shrek the Third,2007-05-17,810,"The King of Far Far Away has died and Shrek and Fiona are to become King & Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set off to bring him back to rule the kingdom.",Shrek the Third,2007,0413267,Shrek-the-Third_dialogue.txt,Shrek-the-Third_charinfo.txt,Shrek-the-Third_parsed.txt
862,sicario,Sicario,imsdb,Sicario,https://imsdb.com/scripts/Sicario.html,Sicario,2015-09-17,273481,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,Sicario,2015,3397884,Sicario_dialogue.txt,Sicario_charinfo.txt,Sicario_parsed.txt
863,sideways,Sideways,imsdb,Sideways,https://imsdb.com/scripts/Sideways.html,Sideways,2004-10-22,9675,"Two middle-aged men embark on a spiritual journey through Californian wine country. One is an unpublished novelist suffering from depression, and the other is only days away from walking down the aisle.",Sideways,2004,0375063,Sideways_dialogue.txt,Sideways_charinfo.txt,Sideways_parsed.txt
864,siege,"Siege, The",imsdb,Siege-The,https://imsdb.com/scripts/Siege%2C-The.html,The Siege,1998-11-06,9882,"The secret US abduction of a suspected terrorist from his Middle East homeland leads to a wave of terrorist attacks in New York.  An FBI senior agent and his team attempt to locate and decommission the enemy cells, but must also deal with an Army General gone rogue and a female CIA agent of uncertain loyalties.",The Siege,1998,0133952,Siege-The_dialogue.txt,Siege-The_charinfo.txt,Siege-The_parsed.txt
865,signs,Signs,imsdb,Signs,https://imsdb.com/scripts/Signs.html,Signs,2002-08-02,2675,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,Signs,2002,0286106,Signs_dialogue.txt,Signs_charinfo.txt,Signs_parsed.txt
866,silenceoflambs,Silence of the Lambs,imsdb,Silence-of-the-Lambs,https://imsdb.com/scripts/Silence-of-the-Lambs.html,The Silence of the Lambs,1991-02-14,274,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",The Silence of the Lambs,1991,0102926,Silence-of-the-Lambs_dialogue.txt,Silence-of-the-Lambs_charinfo.txt,Silence-of-the-Lambs_parsed.txt
